time_ms,adc1,adc2,adc3,adc4,adc5
18100,2122,2115,1529,1607,2112
18200,2123,2113,1521,1623,2112
18300,2122,2112,1510,1632,2112
18400,2121,2113,1509,1653,2112
18500,2123,2112,1503,1569,2112
18600,2119,2112,1499,1569,2111
18700,2123,2112,1494,1572,2112
18800,2122,2114,1490,1571,2112
18900,2123,2112,1492,1579,2112
19000,2121,2112,1499,1583,2112
19100,2122,2113,1499,1585,2112
19200,2123,2112,1492,1584,2112
19300,2123,2113,1497,1585,2112
19400,2122,2112,1488,1535,2026
19500,2125,2114,1515,1678,116
19600,2123,2115,1511,1629,91
19700,2126,2117,1488,1654,87
19800,2125,2117,1495,1705,83
19900,2122,2115,1503,1710,82
20000,2125,2117,1491,1690,83
20100,2126,2115,1506,1751,83
20200,2123,2115,1513,1775,83
20300,2123,2114,1519,1776,82
20400,2126,2116,1535,1770,83
20500,2126,2115,1535,1760,83
20600,2123,2115,1526,1725,83
20700,2126,2117,1531,1717,83
20800,2126,2115,1535,1783,83
20900,2125,2116,1533,1740,83
21000,2125,2115,1535,1812,83
21100,2127,2117,1535,1761,83
21200,2127,2115,1535,1821,83
21300,2123,2116,1556,1857,82
21400,2125,2114,1565,1776,83
21500,2126,2114,1585,1794,83
21600,2125,2117,1535,1741,85
21700,2125,2117,1575,1751,93
21800,2121,2114,1575,2017,2112
21900,2123,2113,1535,1969,2113
22000,2123,2114,1602,1984,2113
22100,2123,2113,1554,1961,2112
22200,2121,2112,1611,1945,2112
22300,2121,2112,1610,1923,2111
22400,2119,2112,1610,1898,2111
22500,2121,2113,1609,1886,2112
22600,2122,2113,1611,1869,2112
22700,2121,2112,1600,1857,2111
22800,2121,2112,1609,1836,2109
22900,2119,2112,1611,1815,2112
23000,2122,2112,1603,1819,2111
23100,2123,2112,1589,1787,2112
23200,2123,2111,1535,933,2112
23300,2125,2111,1535,881,2113
23400,2125,2113,1535,679,2113
23500,2125,2113,1535,496,2113
23600,2125,2113,1534,394,2112
23700,2125,2113,1535,433,2113
23800,2125,2114,1535,433,2113
23900,2124,2113,1527,592,2112
24000,2124,2114,1535,474,2112
24100,2124,2113,1535,464,2113
24200,2123,2114,1535,455,2113
24300,2125,2113,1557,417,2112
24400,2123,2114,1535,390,2113
24500,2123,2113,1535,427,2112
24600,2123,2112,1535,404,2112
24700,2123,2113,1535,422,2112
24800,2124,2112,1535,431,2112
24900,2122,2112,1535,400,2112
25000,2125,2113,1528,317,2113
25100,2122,2112,1578,1045,2112
25200,2123,2114,1590,1590,2112
25300,2122,2113,1586,1616,2112
25400,2123,2112,1558,1663,2112
25500,2123,2113,1590,1653,2112
25600,2122,2112,1582,1645,2112
25700,2121,2112,1520,1650,2111
25800,2119,2112,1527,1648,2112
25900,2121,2112,1555,1633,2112
26000,2123,2103,1495,1617,2112
26101,2121,2090,284,1637,2115
26200,2123,2096,263,1622,2112
26300,2125,2101,290,1639,2114
26400,2123,2103,270,1639,2113
26500,2122,2102,304,1653,2112
26600,2118,2109,279,1630,2113
26700,2126,2105,273,1634,2117
26800,2123,2102,278,1635,2114
26900,2123,2102,229,1634,2113
27000,2128,2105,234,1637,2113
27100,2117,2105,242,1637,2113
27200,2128,2103,257,1638,2113
27300,2128,2105,243,1638,2113
27400,2123,2103,248,1636,2112
27500,2123,2103,249,1639,2113
27600,2124,2103,244,1645,2114
27700,2124,2105,237,1658,2113
27801,2121,2099,511,1647,2112
27900,2123,2113,1606,1649,2112
28000,2123,2113,1609,1648,2112
28100,2123,2112,1603,1643,2112
28200,2121,2112,1600,1634,2112
28300,2122,2112,1600,1636,2111
28400,2122,2112,1602,1637,2111
28500,2122,2112,1596,1647,2112
28600,2123,2112,1590,1642,2112
28700,2125,2112,1584,1639,2112
28800,2123,2113,1584,1638,2112
28900,2123,2112,1593,1641,2112
29000,2123,2113,1601,1632,2112
29100,2122,2114,1589,1635,2112
29200,2123,2113,1605,1634,2112
29300,2123,2113,1581,1634,2114
29400,2123,2113,1598,1632,2111
29500,2123,2112,1602,1632,2112
29600,2124,2114,1604,1635,2112
29700,2126,2115,1607,1638,2112
29800,2123,2113,1607,1646,2113
29900,2123,2114,1610,1650,2112
